Temperature(°C), pressure(hPa), humidity(%), altitude(m)
26.79,990.75,45.58,189.21

26.79,990.73,45.56,189.21

26.79,990.75,45.55,189.21

26.79,990.75,45.55,189.37

26.80,990.73,45.54,189.21

26.80,990.73,45.53,189.21

26.81,990.73,45.53,189.21

26.81,990.73,45.53,189.37

26.81,990.71,45.50,189.54

26.82,990.71,45.50,189.04

26.82,990.71,45.48,189.04

26.82,990.71,45.48,189.04

26.82,990.71,45.48,189.04

26.83,990.71,45.48,189.21

26.83,990.69,45.49,189.21

26.83,990.73,45.46,189.21

26.83,990.73,45.46,189.21

26.83,990.73,45.45,189.21

26.84,990.71,45.44,189.04

26.84,990.71,45.44,189.37

26.84,990.71,45.42,189.21

26.84,990.69,45.43,189.21

26.84,990.69,45.40,189.21

26.85,990.69,45.41,189.21

26.85,990.75,45.39,189.21

26.85,990.75,45.39,189.21

26.85,990.75,45.37,189.21

26.86,990.73,45.37,189.04

26.86,990.73,45.37,189.37

26.86,990.73,45.35,189.21

26.86,990.73,45.35,189.21

26.86,990.71,45.34,189.21

26.87,990.71,45.34,189.21

26.87,990.75,45.33,189.37

26.87,990.73,45.33,189.37

26.88,990.73,45.31,189.37

26.88,990.73,45.33,189.37

26.88,990.73,45.29,189.21

26.88,990.73,45.29,189.21

26.88,990.75,45.28,189.37

26.88,990.73,45.28,189.37

26.88,990.73,45.26,189.04

26.88,990.73,45.25,189.04

26.88,990.73,45.24,189.21

26.89,990.73,45.23,189.21

26.89,990.71,45.22,189.21

26.89,990.71,45.21,189.37

26.89,990.71,45.20,189.21

26.89,990.71,45.19,189.21

26.89,990.75,45.18,189.21

26.89,990.75,45.18,189.21

26.90,990.75,45.17,189.04

26.90,990.75,45.17,189.04

26.90,990.75,45.17,189.04

26.90,990.75,45.16,189.04

26.90,990.75,45.16,189.04

26.90,990.73,45.14,189.04

26.90,990.75,45.14,189.04

26.90,990.75,45.13,189.04

26.91,990.75,45.12,189.04

26.91,990.75,45.10,189.04

26.91,990.75,45.11,189.04

26.91,990.75,45.08,189.04

26.91,990.75,45.08,189.04

26.91,990.75,45.08,189.04

26.91,990.75,45.07,189.04

26.91,990.75,45.06,189.04

26.91,990.75,45.04,189.04

26.91,990.73,45.05,189.21

26.91,990.75,45.04,189.21

26.91,990.77,45.03,189.21

26.91,990.75,45.02,189.04

26.91,990.75,45.03,189.04

26.91,990.77,45.03,189.21

26.91,990.75,45.03,189.21

26.91,990.75,45.02,189.21

26.92,990.75,45.01,189.04

26.92,990.75,45.03,189.04

26.92,990.75,45.03,189.04

26.92,990.75,45.02,189.04

26.92,990.75,45.01,189.04

26.92,990.75,45.01,189.04

26.92,990.75,45.01,189.04

26.92,990.73,45.00,189.04

26.92,990.73,45.00,189.21

26.93,990.73,44.99,189.21

26.93,990.71,44.99,189.21

26.93,990.73,44.99,189.37

26.93,990.73,44.97,189.37

26.93,990.73,44.97,189.37

26.93,990.73,44.96,189.37

26.92,990.71,44.95,189.37

26.93,990.71,44.95,189.37

26.93,990.71,44.94,189.37

26.93,990.71,44.93,189.37

26.93,990.73,44.94,189.37

26.93,990.73,44.95,189.37

26.93,990.73,44.93,189.37

26.93,990.71,44.92,189.54

26.94,990.71,44.92,189.54

26.94,990.71,44.92,189.54

26.94,990.71,44.92,189.54

26.94,990.71,44.91,189.54

26.94,990.71,44.92,189.54

26.94,990.71,44.92,189.37

26.94,990.71,44.91,189.21

26.94,990.71,44.91,189.37

26.94,990.71,44.89,189.37

26.94,990.71,44.90,189.54

26.93,990.71,44.90,189.54

26.93,990.71,44.88,189.54

26.94,990.71,44.89,189.37

26.94,990.71,44.89,189.37

26.94,990.71,44.89,189.37

26.94,990.71,44.87,189.21

26.94,990.71,44.89,189.21

26.94,990.71,44.87,189.21

26.94,990.71,44.87,189.37

26.94,990.71,44.87,189.37

26.94,990.71,44.87,189.37

26.94,990.71,44.86,189.37

26.94,990.71,44.87,189.37

26.94,990.71,44.84,189.37

26.94,990.71,44.83,189.37

26.95,990.71,44.83,189.37

26.95,990.71,44.82,189.21

26.95,990.71,44.83,189.37

26.95,990.73,44.82,189.37

26.95,990.73,44.83,189.37

26.95,990.73,44.83,189.37

26.95,990.71,44.81,189.37

26.95,990.73,44.82,189.37

26.95,990.73,44.81,189.37

26.95,990.73,44.82,189.37

26.95,990.73,44.81,189.37

26.95,990.73,44.80,189.37

26.95,990.73,44.80,189.37

26.95,990.73,44.81,189.37

26.95,990.73,44.81,189.37

26.95,990.73,44.79,189.37

26.95,990.71,44.78,189.37

26.95,990.73,44.78,189.37

26.95,990.71,44.78,189.54

26.95,990.73,44.77,189.37

26.95,990.73,44.77,189.54

26.95,990.71,44.75,189.54

26.96,990.71,44.77,189.54

26.96,990.71,44.75,189.54

26.96,990.71,44.75,189.54

26.95,990.71,44.73,189.37

26.95,990.71,44.72,189.54

26.96,990.73,44.74,189.37

26.96,990.73,44.72,189.37

26.96,990.73,44.71,189.37

26.96,990.73,44.73,189.21

26.96,990.73,44.72,189.21

26.96,990.73,44.72,189.37

26.95,990.73,44.73,189.37

26.95,990.73,44.72,189.54

26.95,990.71,44.72,189.54

26.95,990.73,44.72,189.54

26.95,990.73,44.72,189.37

26.95,990.73,44.72,189.37

26.96,990.71,44.71,189.21

26.96,990.73,44.72,189.21

26.96,990.73,44.72,189.21

26.96,990.71,44.72,189.21

26.96,990.71,44.71,189.37

26.96,990.71,44.71,189.37

26.96,990.71,44.70,189.37

26.96,990.71,44.70,189.37

26.96,990.71,44.70,189.37

26.97,990.71,44.70,189.37

26.97,990.73,44.71,189.54

26.97,990.71,44.70,189.54

Data acquisition stopped from keyboard
